date,department,category,budget,actual,approved
2024-11-15,Operations,Consulting,3503.12,4484.98,True
2024-11-15,IT,Personnel,7258.27,10098.75,True
2024-11-16,Sales,Personnel,20173.84,16801.24,True
2024-11-16,Finance,Software,10014.73,11408.45,True
2024-11-17,Marketing,Office,7063.71,13671.27,True
2024-11-18,Operations,Travel,7006.25,8969.96,False
2024-11-18,Finance,Consulting,12518.41,9507.04,True
2024-11-18,Operations,Software,3503.12,7175.97,True
2024-11-19,IT,Training,14516.54,7574.06,True
2024-11-19,Marketing,Consulting,8829.64,10253.45,True
2024-11-19,HR,Consulting,5429.24,7553.14,True
2024-11-19,Engineering,Office,13625.1,40525.73,True
2024-11-19,Sales,Personnel,33623.07,16801.24,True
2024-11-20,Engineering,Software,23843.92,30394.3,False
2024-11-21,HR,Office,7238.99,5395.1,False
2024-11-21,Engineering,Hardware,11921.96,30394.3,True
2024-11-22,Sales,Training,20173.84,12600.93,True
2024-11-22,Marketing,Training,5045.51,13671.27,False
2024-11-22,Engineering,Personnel,15895.94,24315.44,True
2024-11-23,Sales,Personnel,14409.89,33602.48,True
2024-11-23,Marketing,Consulting,5886.43,13671.27,False
2024-11-23,Engineering,Personnel,11921.96,24315.44,True
2024-11-24,Operations,Software,9341.67,11959.94,True
2024-11-25,Marketing,Consulting,4414.82,10253.45,True
2024-11-25,HR,Consulting,7238.99,9441.43,True
2024-11-25,HR,Personnel,10858.48,5395.1,True
2024-11-25,Sales,Software,12608.65,12600.93,False
2024-11-26,HR,Consulting,8686.79,4720.72,False
2024-11-28,Finance,Personnel,12518.41,8148.89,True
2024-11-28,Marketing,Consulting,5886.43,13671.27,True
2024-12-01,Marketing,Personnel,3828.11,2790.44,True
2024-12-01,Finance,Personnel,15139.7,11158.42,True
2024-12-02,Sales,Office,14698.96,6013.05,True
2024-12-03,HR,Training,3624.23,5025.21,True
2024-12-03,HR,Hardware,3624.23,3589.44,False
2024-12-05,Engineering,Office,8283.43,11677.49,True
2024-12-05,HR,Personnel,6342.41,4187.68,False
2024-12-05,IT,Hardware,12316.72,5529.63,True
2024-12-08,Operations,Software,3533.58,4906.35,False
2024-12-09,IT,Travel,7390.03,5529.63,True
2024-12-09,Operations,Personnel,9422.87,4293.05,True
2024-12-10,HR,Travel,5073.93,5025.21,True
2024-12-10,Operations,Software,4038.37,8586.1,False
2024-12-10,Finance,Travel,12616.42,26036.31,True
2024-12-11,HR,Hardware,8456.55,8375.35,True
2024-12-12,IT,Hardware,9237.54,4147.22,False
2024-12-12,Sales,Travel,7349.48,6872.05,True
2024-12-13,HR,Office,3171.2,6281.51,False
2024-12-13,Sales,Travel,7349.48,6872.05,False
2024-12-15,Engineering,Software,7248.0,14012.98,True
2024-12-16,IT,Software,12316.72,8294.44,False
2024-12-17,Marketing,Travel,5359.36,7441.17,False
2024-12-18,Engineering,Office,7248.0,14012.98,True
2024-12-18,Operations,Consulting,3533.58,11448.14,True
2024-12-18,Engineering,Office,19327.99,10009.27,True
2024-12-18,Marketing,Hardware,8932.26,3189.07,False
2024-12-18,HR,Travel,4228.27,6281.51,False
2024-12-19,Finance,Consulting,18924.62,9763.62,False
2024-12-20,IT,Consulting,9237.54,5529.63,True
2024-12-20,Finance,Consulting,15139.7,13018.15,True
2024-12-21,Sales,Training,5512.11,16034.79,True
2024-12-22,Marketing,Travel,8932.26,7441.17,False
2024-12-22,Operations,Consulting,5653.72,5724.07,True
2024-12-23,HR,Personnel,8456.55,5025.21,True
2024-12-23,Sales,Software,8819.38,6013.05,True
2024-12-25,HR,Hardware,8456.55,3140.76,True
2024-12-25,Engineering,Personnel,9664.0,17516.23,True
2024-12-25,Operations,Training,3533.58,5724.07,True
2024-12-25,Engineering,Training,9664.0,8758.11,False
2024-12-26,Operations,Office,3533.58,11448.14,True
2024-12-26,Marketing,Software,8932.26,7441.17,True
2024-12-26,Operations,Hardware,4038.37,11448.14,True
2024-12-26,HR,Travel,4228.27,6281.51,True
2024-12-27,Engineering,Training,19327.99,8758.11,True
2024-12-27,Sales,Hardware,8819.38,8017.4,True
2024-12-27,IT,Consulting,6158.36,6635.55,False
2024-12-28,Operations,Hardware,9422.87,8586.1,True
